                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5732,                 4.8708,                 2.3728,                0.00166,                0.02683,                0.00134,                0.00024,                 2.3162,                 4.8343,                 2.3136,             0.00011042,             0.00011042,             0.00011042
                      2,                 2.0753,                 4.4136,                 1.8715,                0.02061,                0.34992,                 0.0335,                0.01126,                 2.1691,                 4.0093,                 2.0091,             0.00022069,             0.00022069,             0.00022069
                      3,                  2.012,                  3.882,                  1.813,                 0.4076,                0.11417,                0.06774,                0.02185,                 2.1492,                 3.6539,                  1.954,             0.00033022,             0.00033022,             0.00033022
                      4,                 1.9892,                 3.5541,                 1.7716,                0.49629,                0.10466,                0.08079,                0.03206,                 1.9718,                 3.2249,                 1.8253,              0.0003297,              0.0003297,              0.0003297
                      5,                 1.8806,                 3.2153,                 1.7106,                0.46825,                 0.2345,                0.09209,                 0.0404,                 1.9441,                 4.0869,                 1.7956,              0.0003286,              0.0003286,              0.0003286
                      6,                 1.8646,                 2.9906,                 1.7289,                0.38319,                0.28643,                 0.1165,                 0.0497,                 1.8893,                 3.5377,                 1.8309,             0.00032751,             0.00032751,             0.00032751
                      7,                 1.8209,                 2.7929,                 1.7062,                0.37593,                 0.4046,                 0.1622,                 0.0667,                 1.9754,                 3.8396,                 1.8228,             0.00032641,             0.00032641,             0.00032641
                      8,                  1.811,                 2.6864,                 1.7022,                0.30517,                0.42525,                 0.2055,                0.09425,                 1.8397,                 3.3439,                 1.7549,             0.00032531,             0.00032531,             0.00032531
                      9,                  1.765,                 2.5816,                 1.6687,                0.21799,                0.43493,                0.24292,                0.10565,                 1.8606,                 3.9327,                 1.7658,             0.00032421,             0.00032421,             0.00032421
                     10,                 1.7261,                  2.438,                 1.6614,                0.20369,                0.49338,                0.22862,                0.11195,                 1.8432,                 4.2464,                 1.7577,             0.00032311,             0.00032311,             0.00032311
                     11,                 1.7007,                 2.3338,                 1.6555,                0.31101,                0.43909,                0.25368,                0.11613,                 1.8141,                 3.2068,                 1.6932,             0.00032201,             0.00032201,             0.00032201
                     12,                 1.6852,                 2.2555,                  1.609,                0.25418,                0.59437,                0.29264,                0.13115,                 1.7736,                 3.3595,                 1.6445,             0.00032091,             0.00032091,             0.00032091
                     13,                 1.6776,                 2.2178,                 1.6063,                0.29145,                0.57549,                0.34686,                0.15452,                 1.8615,                 2.3085,                 1.7142,             0.00031981,             0.00031981,             0.00031981
                     14,                 1.6885,                 2.1806,                 1.6017,                0.30865,                0.53042,                0.38696,                0.20624,                  1.703,                 2.2916,                 1.5987,             0.00031871,             0.00031871,             0.00031871
                     15,                 1.6761,                 2.1272,                 1.5891,                0.26686,                  0.633,                0.40554,                0.19492,                 1.7134,                  2.287,                  1.576,             0.00031762,             0.00031762,             0.00031762
                     16,                 1.6069,                 2.0754,                 1.5612,                0.40284,                0.55225,                0.42374,                0.20311,                 1.7126,                 2.0233,                 1.5752,             0.00031652,             0.00031652,             0.00031652
                     17,                 1.6043,                  2.038,                 1.5651,                0.35597,                0.53249,                0.37957,                0.18847,                 1.6273,                 2.4875,                 1.5696,             0.00031542,             0.00031542,             0.00031542
                     18,                 1.6255,                  1.999,                 1.5684,                0.30281,                0.59637,                0.34509,                0.16279,                 1.6628,                 2.4025,                 1.5772,             0.00031432,             0.00031432,             0.00031432
                     19,                 1.5825,                 1.9829,                 1.5718,                0.31058,                0.64167,                0.40283,                0.19005,                 1.7039,                 2.2012,                 1.6123,             0.00031322,             0.00031322,             0.00031322
                     20,                 1.5631,                 1.8695,                 1.5186,                0.34729,                0.61371,                0.50884,                0.26314,                 1.6397,                 1.9456,                 1.5633,             0.00031212,             0.00031212,             0.00031212
                     21,                  1.555,                 1.8603,                  1.513,                0.33681,                0.64041,                0.44164,                0.20811,                 1.7033,                 2.0532,                 1.5683,             0.00031102,             0.00031102,             0.00031102
                     22,                 1.5675,                 1.8755,                 1.5385,                0.38564,                0.53441,                0.44818,                0.24061,                  1.639,                  2.145,                 1.5476,             0.00030992,             0.00030992,             0.00030992
                     23,                 1.5199,                 1.8149,                 1.5063,                0.35941,                0.57499,                0.45374,                0.24705,                 1.6099,                  1.908,                   1.54,             0.00030882,             0.00030882,             0.00030882
                     24,                 1.5217,                 1.7605,                 1.4982,                0.31293,                0.59726,                 0.3771,                0.18859,                 1.7514,                 2.3124,                 1.5687,             0.00030773,             0.00030773,             0.00030773
                     25,                 1.5326,                 1.7557,                 1.4824,                0.38508,                0.55228,                0.44378,                0.23041,                 1.6451,                 1.9176,                 1.5406,             0.00030663,             0.00030663,             0.00030663
                     26,                 1.5223,                 1.7832,                 1.4985,                0.40073,                  0.592,                0.45893,                0.25662,                 1.5996,                 1.9264,                 1.5433,             0.00030553,             0.00030553,             0.00030553
                     27,                 1.4796,                 1.7417,                 1.4826,                0.43906,                0.54732,                0.50497,                0.25043,                 1.6992,                 1.9293,                 1.6195,             0.00030443,             0.00030443,             0.00030443
                     28,                 1.4885,                 1.7025,                 1.4915,                0.49745,                0.52689,                0.50226,                0.26772,                 1.6206,                 1.9186,                  1.554,             0.00030333,             0.00030333,             0.00030333
                     29,                 1.4915,                 1.6595,                 1.4765,                0.40213,                0.63083,                0.51351,                  0.275,                 1.6453,                 1.7611,                 1.5314,             0.00030223,             0.00030223,             0.00030223
                     30,                 1.4592,                 1.6751,                 1.4625,                0.41997,                0.61351,                0.47112,                0.24954,                 1.6294,                 1.9423,                  1.532,             0.00030113,             0.00030113,             0.00030113
                     31,                 1.4639,                 1.6016,                  1.449,                0.46748,                0.59127,                0.51122,                0.28115,                 1.5658,                 1.9155,                   1.49,             0.00030003,             0.00030003,             0.00030003
                     32,                 1.4596,                 1.6382,                 1.4622,                0.41892,                0.62932,                0.48607,                0.25995,                  1.603,                 1.8374,                 1.4935,             0.00029893,             0.00029893,             0.00029893
                     33,                 1.4562,                 1.6058,                 1.4733,                0.53027,                0.53738,                0.56865,                0.28936,                 1.6104,                 1.7888,                 1.4923,             0.00029784,             0.00029784,             0.00029784
